RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,StateCodeFIPS,MunicipalCodeFIPS,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-31,2026-01-31,2026-02-28,2026-03-31,2026-04-30,2026-05-31
3101,0,Los Angeles County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,037,1684.4606460168022,1696.8034516848481,1713.1325952503284,1727.5642027556778,1743.5051952215567,1753.6842417894786,1767.3965398076093,1776.746439638949,1789.9843714765252,1794.5470442820342,1801.2716617688964,1808.1386409104834,1819.6249004298077,1830.8142822581272,1844.1446165263599,1855.4432564986237,1869.1504300709114,1879.0562763562634,1891.8620215655415,1898.7473933819529,1904.9646728215157,1906.6920915430537,1907.693343284163,1911.8892420555105,1926.8524611507983,1943.7556727615972,1965.0976430798262,1976.5386376856547,1992.026880422869,2000.462258472521,2012.2403900075003,2017.5409239424985,2023.325251631158,2024.2061179978732,2028.2233392553842,2033.6558095971993,2044.5129185668409,2059.032911856852,2069.1019823889433,2078.6618239271415,2086.430487505605,2099.644484826469,2111.972124683012,2122.328301362801,2126.539266373243,2129.655408528251,2134.558852264328,2140.184852412174,2145.5135481187485,2149.2281941380957,2162.130862761704,2174.7421357245676,2188.286098385253,2197.2148462236373,2204.855236950515,2210.2132957148806,2213.440775058223,2214.6215044241317,2216.200194014074,2218.938243428318,2225.09681660172,2229.5332132965023,2230.0832905193456,2222.8019229466,2216.6627600450606,2213.747250707679,2215.1847967851713,2213.6542324033417,2208.089707973445,2203.1086408464507,2201.2114373962568,2199.40968048286,2206.182979334586,2213.2734503049396,2224.3019687805104,2233.1843505398397,2249.438337342426,2278.6543604296944,2314.5121236917316,2354.680842187368,2385.0542934536493,2405.745439924459,2417.550579991225,2434.2016131402247,2452.7878840127155,2477.8763833333446,2500.0551000739056,2526.105173861026,2547.060288129091,2567.321390049965,2586.5276477814145,2602.4961677534816,2612.5634114267796,2610.418634353553,2606.4294142697345,2601.790554781382,2603.6215913262786,2610.610250417706,2625.168059533298,2634.998677272334,2643.1679990382486,2646.0295704860023,2652.394277498751,2657.9175226840257,2658.8523741509593,2655.951694462655,2647.257631702585,2642.0479868030366,2645.3717735636487,2654.317089005161,2667.565782814635,2678.125162218024,2689.134446425881,2698.2664358603315,2707.7102617022747,2712.89645998524,2718.1653150226934,2715.6869553538754,2712.6092839663174,2706.5834624489394,2728.3532794076077,2750.4855994033187,2772.438407398588,2768.5780184085575,2770.3214143899067,2773.3666789141876,2778.674291857573,2780.7854030017597,2782.5374536036184,2780.378556251767,2773.411697998557,2763.2537778171013,2764.799206746405,2771.107409298093,2783.501715553883,2792.3286441664964,2800.401627045019
139,1,Cook County,county,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",17,031,1468.2053913857665,1477.8765715378381,1489.3655191637881,1499.2603750237263,1510.1708275867165,1520.945011800453,1526.517537347271,1529.576020431687,1523.9462751158119,1515.5922963079142,1505.6292407489314,1504.9294809138057,1514.6592093550908,1527.7690020188854,1540.8714742714922,1549.152161259666,1557.5369081090596,1566.2895776948742,1573.2540896111257,1578.0704100697071,1570.9271614058387,1559.7168974332758,1544.7416004346317,1537.826203376996,1544.0617438528454,1560.3949563712272,1580.9697875575503,1595.6928749919834,1607.411580397018,1614.065270193708,1615.8498709117023,1610.8091792965367,1603.2756178496008,1589.8863201570819,1579.6868005673164,1576.971001309257,1586.730080093044,1602.0009908119425,1615.3084508796023,1626.638616142432,1637.3116393418286,1647.8571368297553,1653.5972834125814,1650.2407674251133,1636.4256407377768,1622.1604484512927,1613.0972703674051,1614.1997919713497,1623.7953310637356,1635.9645609102988,1653.9711963030452,1668.932158943796,1682.5991766712336,1690.0523346087152,1692.9281863745982,1693.1727549329528,1687.4819261560408,1679.6365736779933,1670.0364563888982,1664.055393364763,1673.360582177649,1686.4523228116173,1702.531224471648,1703.7474782149677,1702.5703933488185,1699.4206027941989,1697.2956604829303,1688.327008750458,1668.7689397689107,1641.4205646079895,1618.5199098508199,1610.2837985284787,1613.4980952153685,1627.3800079407695,1645.9722237016772,1674.152464172747,1702.6509060920025,1728.6849905580866,1746.7105046344545,1757.5442093308884,1762.2247007033488,1760.2337999408282,1759.0900039472401,1764.3735367891459,1779.0757382544632,1797.0667577128581,1819.3582128876162,1844.492023031911,1871.438160788312,1892.3390474789273,1908.1216219159126,1915.3737639523201,1914.793522890972,1909.2793702731917,1904.1409980305841,1905.8725020670568,1915.27086066288,1930.9069949945724,1949.7768493271872,1969.336270266718,1991.4731396125032,2009.8508509114658,2021.8548670509451,2027.5743021269905,2022.0667622953422,2011.3290817636525,2001.8425658048695,2003.7746157478573,2015.1065100400247,2032.1049743489505,2049.3224531492824,2070.191278610927,2087.632730720172,2103.7391207103915,2111.111077174663,2112.632323785528,2109.097943194437,2105.5437365414864,2104.1169575915756,2106.5099554584162,2117.445784361941,2136.571892670688,2160.71282779412,2184.6593017469504,2206.827033104004,2226.9816486270856,2238.688169893605,2243.422848467591,2241.4722798531543,2234.1506743196896,2228.416333930966,2225.2971979209588,2240.060499105005,2261.6241256596845,2289.2822291366238,2311.9316283213775,2334.4032883580703
1090,2,Harris County,county,TX,TX,"Houston-The Woodlands-Sugar Land, TX",48,201,1179.8291787321048,1182.1765712464164,1187.1237958754716,1198.4058649391018,1208.7462808472812,1218.0630781979473,1218.0027082365484,1219.5132114807848,1217.6711059354225,1215.6141987878839,1212.2595353407528,1209.5583599838383,1210.5387088210637,1211.7124457128557,1217.1411891835555,1222.5739672912855,1226.6311784129578,1228.0311493502218,1226.6789896626644,1223.9785312490965,1218.7248468690298,1215.4088077467388,1210.0040761072082,1207.672680149585,1208.1253970290077,1215.9999038938024,1224.8799213575141,1229.3587645155517,1236.6142533905079,1237.2971200642824,1237.7379566642826,1232.684206880195,1239.6736039401246,1248.193437882286,1259.8701642082451,1266.669906512899,1269.0047582570087,1275.1589068734181,1275.8202300890664,1283.9507162573086,1285.9332185393052,1291.0775486715047,1290.2422621565763,1288.1258551364833,1284.5920513167105,1285.0219912480081,1287.368448430729,1287.3829239471593,1287.075689837365,1284.0135036110473,1289.8072002810638,1295.3152569372155,1305.8484460312804,1312.5523557212152,1316.483300883157,1316.1136508392715,1312.6137976600494,1311.2878777645794,1309.9874139738743,1313.3800675586242,1316.4497344720887,1322.3979779149051,1328.5171376351075,1325.1435986334438,1320.4236858277359,1315.5473607421159,1320.1313722095508,1323.88950710506,1322.9219908754737,1322.8672518906963,1322.6811396073747,1322.5135234467887,1326.6862313201634,1330.127234494455,1339.2856237561637,1351.5937464552358,1371.1775347570122,1397.4349824458347,1420.8432418392697,1442.3674169626418,1454.1517383272128,1460.7460033513287,1463.44691884201,1466.1599011711144,1471.6067728108394,1482.0948408369104,1492.839219852567,1504.4988069242174,1515.3280423201222,1529.7106170873672,1541.9140599464765,1549.0339734257484,1546.4903134102965,1540.388384138123,1531.4749744168153,1529.441294926684,1532.3753249518115,1540.7568040520227,1551.7204823419183,1557.0169317830466,1564.8994613731654,1571.368624882729,1577.8213461735986,1579.4568256104153,1575.0001792775404,1570.2003202549288,1564.987475210319,1563.7194596263266,1565.3171808613952,1569.3398081627083,1572.3179985033594,1578.325965216481,1585.0588299135393,1592.7301660958383,1597.069675654263,1600.94090972593,1602.6381455979524,1601.0067189767888,1595.9248398863422,1591.937438317925,1591.6841968158299,1595.0290043611349,1602.826386266595,1607.5088424270384,1609.547603954279,1603.3661607457673,1604.9492426277275,1605.1705218913905,1607.7829121257712,1601.474857172643,1594.178116899106,1587.8838702300052,1585.883752482635,1583.756749055723,1585.6515302882767,1588.94711945065,1595.8737779358528
2402,3,Maricopa County,county,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",04,013,915.1783687927478,929.540604605203,936.5378124872333,949.4163695384254,949.8834197316502,957.7296500490334,957.9175635268568,959.1832228350412,961.9907340101968,964.5227194611251,968.2180800632685,969.7281644446892,974.8729235778278,979.3733862255474,986.244043587521,993.139899237965,1001.1991377029491,1008.2332762699695,1012.203406498796,1013.9462884476352,1014.8983533412263,1014.5490105846231,1016.1487234139099,1017.042920009673,1023.5374906086267,1031.7461876924413,1043.0365569720261,1052.4060366315753,1061.866317052744,1068.1347127332433,1072.8441302988322,1074.9749459005627,1077.6869778786831,1079.4502123356128,1082.4139306301734,1085.061139585444,1090.202750442077,1095.969263953259,1107.518134147643,1120.8359486528418,1132.163992343363,1140.2480255237554,1147.0497102549416,1152.7613545705372,1157.8757161829326,1161.477695905939,1167.2856056084881,1172.9039753115521,1176.9203377091321,1185.3391690920346,1195.4269088597653,1210.5146389633194,1221.555963272731,1231.7734250757983,1239.0864756667063,1245.824945300527,1250.0176642578883,1253.2386186010492,1258.4208460133236,1266.4903038932423,1275.643098834359,1285.4090840280571,1291.4571052927945,1291.6663734235701,1290.7958939006292,1294.9701600069868,1308.8386845396428,1325.1307632113926,1340.5725519018038,1353.9259805305098,1365.7832060846001,1375.5795072334706,1388.2703278285694,1402.4096371151832,1424.5789542107398,1451.8706291878184,1489.9207768623035,1533.711556587149,1580.8057400092157,1622.627659828905,1652.8422679576936,1673.3796697255832,1684.873720114722,1694.084219472574,1702.072380498053,1712.792292766706,1726.428723721515,1738.1464376834754,1746.0182596167408,1752.1346181031308,1757.3689117370316,1758.2379915970673,1749.4623356587324,1737.6101443887521,1726.3319096440146,1721.9646437215379,1719.6621282140286,1724.757795922146,1738.394173867863,1745.0915028501477,1749.3178717628734,1745.8577005938307,1750.556100391442,1749.8011100693361,1746.2380950125255,1736.716231763702,1727.737010904811,1720.6644922163607,1721.880621000924,1729.4929898153252,1737.7287740721572,1744.764504173479,1748.574279804647,1751.1999417029137,1752.781300048774,1752.350882647249,1749.421184941078,1740.2417178344174,1731.1348330981841,1724.2774865059812,1726.5663495404112,1734.4520400480435,1742.0120262783619,1744.1192609822565,1741.7605834369783,1739.6792615589206,1738.495104229399,1735.2898046201394,1733.3542405384208,1727.39538241469,1719.3018075103223,1714.037803156816,1714.2955373611424,1720.9707882173557,1726.0845010480757,1730.2714972285173,1735.9372366224577
2841,4,San Diego County,county,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",06,073,1617.5747206372168,1628.0396354783059,1636.5001119108547,1640.2993605144243,1651.069409678924,1659.4730290128807,1675.4206934155584,1685.7294355887273,1693.6980279175493,1696.5675316907177,1695.7274504406878,1701.3066034380383,1706.602915043248,1714.937396934353,1723.8771019075639,1733.4832114970911,1746.1128204729105,1760.9733317563598,1773.347847868802,1781.1239279168822,1784.0310036634098,1785.7675789764605,1785.95112595266,1787.9233000074173,1794.5486039090852,1810.4815314767002,1829.491178540853,1848.1049401506737,1863.2073693036295,1874.5420343874016,1885.4355327408193,1891.1627021028555,1893.369900561652,1892.8113882901484,1893.061339269509,1895.1451604150377,1905.4010813185143,1916.5872341692698,1930.737836720829,1941.8428281251056,1957.6293888837358,1969.1196394850194,1980.2223632342489,1986.9863584782654,1991.6344224348331,1990.5863231997148,1985.3841667066279,1987.7597482263436,1992.1947286524314,1999.7092035307962,2005.7549855127354,2015.7413405777459,2028.7251225072084,2040.6966627782272,2052.224958184576,2059.308619256393,2060.4680013822062,2059.995768694494,2060.6512793418833,2064.8612156516415,2069.3610575490943,2073.765736258665,2077.3165613307538,2070.68583025575,2064.9012749095523,2064.2952777929686,2075.7531234948974,2085.2559266951644,2097.715437827782,2111.600661144716,2124.8075178590134,2133.524789643537,2141.3735264361235,2153.1958630967283,2169.9537359440587,2196.8557982421644,2231.8526860484517,2270.680668475376,2318.91022131421,2370.4364695133013,2422.1449917335435,2453.579872686495,2474.0560049049486,2488.5218632789497,2506.9490408220295,2533.5187308568643,2564.349694565435,2606.629929910879,2649.0576678689213,2692.4557748404322,2723.470768522112,2747.09302973448,2751.697044748416,2745.2689445260576,2727.210695872542,2717.836585061408,2713.822997499124,2722.946491286054,2748.1165832197316,2776.420696354032,2807.244525575135,2826.6256938862216,2843.270341248432,2849.6320214854636,2846.7250593588233,2833.365971345945,2811.982973666346,2793.8414609735523,2786.570661450803,2795.1133568093705,2810.876164380808,2829.7475092866266,2846.6713169824193,2862.127169804027,2872.310383553812,2875.1419302611816,2874.0925693598692,2871.0310461855856,2867.916034949886,2860.971232045269,2863.2877040758167,2870.7620505344034,2886.193069313906,2895.868099254655,2904.9257539134587,2915.063295790665,2920.4210571318044,2927.181056041133,2925.6022442397557,2922.3276166862765,2907.0460123694943,2898.7800453711193,2901.642058171365,2915.50303796367,2927.6947771205073,2938.4119713020045,2951.2120075229736
1286,5,Orange County,county,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",06,059,1831.850899089846,1838.9982354946817,1849.5655869049162,1865.1481513022588,1879.3611997316298,1891.792127797401,1902.327007874677,1914.7568030237062,1917.6868269706335,1922.7933860263117,1921.3486992383391,1924.787314714517,1929.7604547511687,1938.2826413545783,1942.8537720686254,1950.9244299514748,1964.7115816472879,1982.8637606320274,1992.1506288799565,1994.6448152326293,1996.6500365670615,1993.6556828093978,2000.1554823496913,1996.441170178782,2006.9654887076138,2018.0623615616619,2041.6057349902164,2058.9733874039175,2066.3202847240755,2076.4728889209746,2082.2413094820504,2088.933987590702,2089.912875625271,2086.869076710433,2089.3200916762844,2091.2626198091293,2102.6098866394796,2107.6403993179183,2118.7004960939894,2124.9711262148307,2133.8176528558924,2140.6039335806026,2145.8094214584776,2147.2952677496464,2147.795976777832,2150.5917922625313,2156.957343844057,2158.115518347065,2161.592781692231,2166.2907869083833,2177.4210015371355,2183.3042399694104,2195.8102454723926,2205.3068122896716,2216.484165809855,2217.4184000129544,2217.117714267287,2217.0086221031884,2221.715600260808,2224.2302019274302,2233.247893261569,2238.83867383141,2244.039340509846,2228.7227597109736,2216.119562739983,2208.3809090785694,,2223.8806622363145,2236.8375887328853,2249.7965648159147,2258.9262697857816,2266.0226939042504,2279.4352667957223,2299.2331051558212,2321.9642100376414,2342.558627788483,2370.0772103663016,2414.449805040575,2481.5654686241373,2563.175859141477,2632.1100974649517,2672.1327427732003,2694.316103558608,2705.8454720756936,2723.792662827803,2742.9098940616022,2770.5548493705733,2804.8642256275216,2833.991027513407,2863.9873048204895,2880.617643901291,2890.3587541324955,2884.535147078175,2872.332963607671,2865.1729279889532,2850.032743090064,2842.486020814936,2836.2418315147984,2848.7064202136103,2861.0188602448993,2878.1704590228856,2896.4883175876544,2928.283829476263,2953.609730928591,2966.271499007041,2964.2042704745054,2956.3336541605017,2956.7958990716907,2955.68689004932,2959.5542092821283,2958.2246541215272,2963.6348277855577,2973.664507005485,2991.7089973694387,3011.7585772476536,3026.693526071853,3032.951277015012,3032.579667056427,3026.2001159185,3019.1777241221466,3024.940495765586,3037.1951097212927,3056.7799541406957,3067.420333688632,3078.135540477573,3090.412594946749,3095.7442147209927,3106.4711422491214,3111.0573157407866,3112.7369368336463,3110.54147650177,3106.4059891018014,3109.8481650831213,3116.3216241340997,3130.006250921002,3144.3005813313493,3155.096289789446
581,6,Kings County,county,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",36,047,2327.599907970597,2345.774609096812,2371.0733174650563,2390.28622050623,2413.6389412850117,2444.5343966416726,2461.6755941756833,2473.4601921171716,2489.1349782776606,2499.0145085796353,2489.0448353498223,2462.659103689393,2451.683590951002,2453.103508815139,2470.2581839013733,2476.8394479861026,2488.8609657202637,2500.3709196068025,2519.269836288099,2535.529004482104,2542.233425488254,2539.0995249410416,2541.0801728541337,2527.290669108639,2516.8745950679554,2506.2133599233903,2512.0011654115647,2527.4605124992772,2540.668191597614,2556.73819326923,2573.695609286838,2586.3030795620143,2586.2369644024084,2569.1314536514724,2549.8237602158442,2537.884786962843,2536.7631203983156,2537.874181900819,2551.300656536716,2569.509683493379,2590.041845407928,2605.3236542198633,2616.985848821583,2628.0522087022123,2630.3041361280043,2622.3407386900585,2607.3630489814864,2589.507110647594,2590.3326830726533,2603.7838023076156,2631.878751450832,2651.206145249528,2676.617067131244,2692.4637300381737,2717.493550486376,2733.0202973944242,2748.573860681705,2752.3742736748513,2749.0319277393864,2741.4738342595783,2740.7626509341553,2749.5099752603705,2765.5106589397446,2758.0534676177,2740.3686503920167,2708.2571855838273,2686.079659871851,2648.079365712161,2600.116681092131,2553.855977257861,2519.3541195652265,2500.1939751223013,2492.311962949923,2501.5908385310227,2524.033685053319,2557.660352627324,2597.3193000843903,2650.478844604701,2708.3403297365717,2765.6799437713203,2813.3028101282002,2839.252716622827,2860.0564361153047,2872.0327727235494,2905.633402847031,2943.580541270261,2995.168227675483,3039.0688405480955,3100.2274898789124,3164.1448456420803,3225.773836132979,3266.7420320480696,3277.0376523052396,3268.548727216334,3227.9989958970928,3195.5052040015908,3189.1882980373293,3204.9719308031636,3232.181275106597,3260.8828023331807,3298.6189607729193,3338.1046600874556,3367.042517060612,3384.509212920688,3391.2685307170914,3373.299559683241,3337.694135642304,3311.8383722419344,3312.0422155333445,3339.1843804574874,3368.066016689139,3396.655196546469,3430.920211373435,3468.5319932530233,3495.4188207373445,3500.6609744708985,3485.977834575709,3463.476140742281,3440.29644061773,3414.3771947372516,3410.878762421101,3432.8228707637463,3477.7098172679353,3522.83372681027,3559.911195858623,3603.588802914739,3636.810099821666,3660.5462361782,3650.428563546616,3632.100895569636,3599.0596623613005,3583.32151538843,3587.374445478858,3618.42947078259,3659.980279129466,3697.424401952075,3741.834414233648
2964,7,Miami-Dade County,county,FL,FL,"Miami-Fort Lauderdale-Pompano Beach, FL",12,086,1633.8040307144036,1643.3519248728155,1656.1712883192952,1666.720745105281,1677.8248413860742,1684.9291763798237,1692.6976470702293,1699.0308265798976,1706.4074476016626,1708.5611190557804,1715.3818033854554,1720.3049171527566,1727.313896235498,1730.3724904737326,1733.0461131262912,1733.5753079531219,1733.3387188639585,1731.931782573608,1731.8950184972023,1728.4702735324597,1727.8992237546738,1725.2238893559038,1723.2064598358372,1716.5943211435078,1721.4087964853163,1727.0399169568448,1739.0660601447644,1740.636852719476,1744.5040339281156,1745.8390410447162,1746.5493627502237,1748.9651194830128,1751.527205914201,1755.832073965919,1754.8667150566412,1755.572517988411,1757.648163994312,1762.2878542786218,1767.6649743066832,1773.3185779407972,1776.9890837921203,1781.816565907558,1785.3760124883568,1791.3822146715897,1794.7688848275816,1800.0232376640377,1801.441077386916,1803.5499225977137,1803.1692285607517,1801.7352459452782,1804.6966952483538,1809.1811021700228,1817.4659910548608,1821.188710555066,1821.6123071208583,1822.155078407795,1822.9297811597733,1831.789289967552,1843.5734903448667,1853.3065648521463,1856.317212167139,1858.4358736214072,1857.9659073793193,1848.6812448864225,1835.0590596568766,1829.4201352440152,1832.2526660934486,1833.0287396459448,1830.3215370754717,1835.0291318849045,1849.968276916652,1868.901194683385,1892.7065171969682,1926.9289951405547,1963.7302651946932,2005.1476720005758,2048.569021630489,2102.9402165831043,2169.033249181452,2228.9975394447692,2286.267268849479,2328.5187547788773,2374.9742376314744,2427.7535175273065,2473.3684074283146,2532.346605089162,2584.473764233627,2647.9330481745997,2694.6996165122596,2728.9005134605713,2755.125323526043,2766.0541050496586,2776.3204536241724,2774.129303966249,2770.640274410305,2770.8804808261025,2771.7572999054805,2778.828901775717,2787.3303062281366,2798.1457676175914,2802.282582026915,2798.9153143762137,2794.576508549358,2792.217046964551,2790.332847393879,2791.9032901991195,2793.354049389451,2790.9197880526813,2792.110039707275,2802.0196031978476,2818.9090772438017,2833.6665593460634,2842.673768611445,2846.486237895377,2848.660549809264,2848.0116200892576,2850.3680108793083,2850.5700903602283,2847.6800283110683,2846.420925606815,2850.5619916200185,2857.3861004271394,2863.0969341040777,2865.11135126527,2871.6837742768294,2873.271076778352,2872.077874187621,2861.953763634702,2854.634175292095,2849.409399808315,2849.539364464885,2847.6775033899667,2845.8760112153905,2851.512643652504,2861.4417156424397,2874.0544253760327,2879.355853476796
978,8,Dallas County,county,TX,TX,"Dallas-Fort Worth-Arlington, TX",48,113,1039.6370421949275,1041.2998927280346,1048.8563467017348,1063.136978371075,1076.3711268550258,1085.5971993419691,1093.9005385347234,1096.5370928449045,1099.2697898015526,1098.8501833113778,1102.951133805539,1105.417653891916,1109.5201076739459,1115.2106534313275,1122.2571927955742,1132.7725443317743,1140.902682498766,1152.0806124612366,1155.2614575494267,1158.6999892580995,1157.503168702238,1164.3949414103781,1166.699257389327,1171.3180495110423,1177.4499166955577,1181.7875497253222,1193.146633133025,1200.370360431866,1214.394724881739,1220.3572436610239,1225.1443627645513,1224.4434206483893,1224.163029832203,1222.3273834991173,1231.0861489343,1234.6884357762556,1238.55971322439,1243.8580414116093,1246.4125919420921,1251.4237309381938,1251.5413217275745,1264.0218182091446,1269.841475909672,1272.8377486637812,1265.1422146616453,1265.901850002159,1268.1521752267765,1272.116256084437,1277.9669833875514,1280.2026207383876,1289.4696491096893,1296.59154461742,1305.0103295488711,1316.9495300559558,1319.3753110941468,1322.6742320971425,1320.5089360933516,1319.7150959578396,1315.7616844395625,1309.5778720571477,1313.0974957457938,1318.7933436878761,1325.7159355457475,1324.1544111913524,1321.7818101537184,1321.2855487920126,1322.675338394476,1325.1902247027267,1326.5349868839094,1328.6906393230256,1327.1422337829108,1330.859801794461,1336.6220449897255,1349.3578209448556,1359.3025138132764,1376.54210483454,1397.7996426515322,1428.3341385701542,1460.7726068332538,1491.4643426083692,1513.3364019453168,1524.6718007143318,1531.9714719984063,1539.3618725785122,1551.9546531602753,1568.278733744399,1580.8936451476163,1599.5832144293202,1620.7763045396625,1653.7344632313893,1675.5629161627596,1683.3074849369439,1676.2258583875596,1659.6691882588682,1648.0781754910097,1637.9272648228032,1634.9920600013836,1635.9405967353234,1645.446107362693,1651.55546913322,1658.8207345026651,1662.523519307416,1669.4554075103777,1670.2836719348352,1666.0219528948737,1657.1213854730738,1648.377988673372,1638.6652780071695,1634.1140209701673,1632.4134575805406,1632.9399763590438,1637.856608679139,1643.078110662571,1652.3656188910536,1658.6480916883088,1661.4664888413567,1657.3761857242187,1651.1174484424293,1644.902111776709,1638.9366144280505,1634.6180988592153,1635.8592537624331,1642.7777131043026,1652.5640593165228,1656.958114152464,1660.3027150981382,1659.9318717659253,1658.3537027754442,1654.6558760496507,1650.703752532693,1648.4659664389521,1642.8907424130653,1639.0813386565535,1640.2943022263948,1648.575524554554,1660.2662570271502,1665.6839585505898
2832,9,Riverside County,county,CA,CA,"Riverside-San Bernardino-Ontario, CA",06,065,1317.8775833640373,1321.7547014079778,1324.8023880439366,1332.0898166197221,1338.7921680838806,1348.7493797238876,1358.6657030705944,1364.0862561466913,1370.5006842967232,1377.6349898636543,1382.4690918801089,1386.9000233127795,1385.921403392791,1394.6369294461808,1396.8040503090976,1398.2323533621363,1402.5908682886268,1407.8825956297328,1419.5738051837518,1424.0640570067312,1436.897286355713,1438.3990673445398,1445.1150461157151,1441.9165511275157,1458.0603306493858,1467.9203403139882,1480.9958344846825,1490.6842364861288,1501.1360205867757,1512.7380434391384,1519.134724586736,1529.2403251345222,1535.6140725671914,1541.165137114034,1545.7596953289105,1547.3579595738227,1554.2855284031832,1564.5903404576902,1576.6143576027284,1581.1182185437603,1582.3648141553015,1589.3358356578876,1599.3971603182172,1610.9295303925448,1621.802046375886,1632.8963346975759,1639.0423694215617,1644.5290681833658,1644.4610874654243,1645.8307000320078,1653.956281954326,1665.4711599450486,1677.3180294336341,1683.2337970817955,1692.5536832923153,1703.3124636757989,1708.3485601104471,1713.4828894611296,1715.489834331287,1722.1268627574016,1725.7400866112825,1732.6521749118654,1735.6677499966804,1732.454668611834,1728.4018402347301,1739.2160080597832,1759.8858925610216,1791.3095132597587,1816.7035671067742,1842.8530556857438,1861.9210618403795,1882.6198806932882,1905.9969009403774,1930.3992492105606,1956.5728469919484,1972.4201456961837,2006.817361792688,2041.9292103355856,2094.240621147797,2136.140751875341,2176.0065431356093,2194.697321029704,2212.82285638141,2215.2972862815564,2237.3297485410662,2250.1117278544853,2283.6728788401347,2308.234404776967,2330.3194386541427,2345.5535855095595,2357.398225828215,2367.7978497708114,2374.9422050552207,2369.590328300352,2360.750480151786,2351.707739251824,2353.68531836396,2359.9502119484646,2370.792208007569,2381.5539780856925,2387.155563784707,2385.7024174931375,2387.2447118230466,2398.0202903313534,2403.906554008386,2416.87930620313,2411.5416657186174,2411.9175032481808,2404.8123692833155,2420.440783206161,2431.1764389560535,2441.7756055123673,2448.3408562102463,2452.1597157647293,2466.2669809067356,2473.3203110618997,2489.1589048252954,2487.540408840471,2483.3147362086984,2485.329303272757,2497.1262740376687,2506.11615300734,2506.295025130872,2507.8301245004,2517.351398121628,2521.9717685497412,2521.699522216451,2522.5025115499584,2528.473763385117,2529.675309338499,2530.5739356034674,2533.9003207782453,2542.2440411063776,2546.2342941197453,2555.9594863244693,2566.6185977217483,2577.06299393388
