GEO_ID|B25077_E001|B25077_M001
04000A0US40|194400|1251
04000A0US41|456200|1598
04000A0US42|242700|664
04000A0US44|368800|2560
04000A0US45|244200|1409
04000A0US46|256500|2585
04000A0US47|268100|1441
04000A0US48|266200|733
04000A0US49|462400|1560
04000A0US50|300600|3761
04000A0US51|384100|1343
04000A0US53|525800|2522
04000A0US54|169500|2032
04000A0US55|254800|1224
04000A0US56|293400|4293
04000A0US72|125300|730
04000C0US01|211900|1339
04000C0US02|344600|3938
04000C0US04|367000|1203
04000C0US05|210000|1976
04000C0US06|705900|1108
04000C0US08|519400|2131
04000C0US09|347300|1918
04000C0US10|318600|3196
04000C0US11|724600|9892
04000C0US12|329100|900
04000C0US13|294600|1199
04000C0US15|870400|5939
04000C0US16|396600|3628
04000C0US17|274300|840
04000C0US18|215400|949
04000C0US19|226500|1332
04000C0US20|241700|1387
04000C0US21|227800|1241
04000C0US22|221100|1281
04000C0US23|318800|4135
04000C0US24|405200|1683
04000C0US25|528000|2200
04000C0US26|229400|803
04000C0US27|334800|916
04000C0US28|196200|1952
04000C0US29|233800|1031
04000C0US30|365900|4110
04000C0US31|251200|2079
04000C0US32|415600|2220
04000C0US33|406200|4178
04000C0US34|427600|1335
04000C0US35|259000|2525
04000C0US36|447700|1365
04000C0US37|283900|1060
04000C0US38|276200|3136
04000C0US39|209500|614
04000C0US40|205500|1548
04000C0US41|478600|1775
04000C0US42|254600|791
04000C0US44|368800|2560
04000C0US45|250600|1754
04000C0US46|276000|3206
04000C0US47|282300|1469
04000C0US48|272700|669
04000C0US49|466300|1681
04000C0US50|370400|5570
04000C0US51|392800|1425
04000C0US53|547500|2383
04000C0US54|174500|2194
04000C0US55|265600|1197
04000C0US56|294600|6657
04000C0US72|127200|725
04000C1US01|203300|2659
04000C1US02|363900|5241
04000C1US04|384000|1594
04000C1US05|229600|3084
04000C1US06|792500|2375
04000C1US08|478300|2171
04000C1US09|286600|3541
04000C1US10|233900|8333
04000C1US11|724600|9892
04000C1US12|323300|1948
04000C1US13|285100|3018
04000C1US15|828600|16007
04000C1US16|376400|5153
04000C1US17|284800|1718
04000C1US18|183400|1520
04000C1US19|192100|1845
04000C1US20|218500|2214
04000C1US21|228300|2195
04000C1US22|240200|2435
04000C1US23|310400|10828
04000C1US24|330500|4105
04000C1US25|579200|6046
04000C1US26|179800|1571
04000C1US27|338400|1837
04000C1US28|144500|5100
04000C1US29|207000|2507
04000C1US30|340100|5061
04000C1US31|234400|1661
04000C1US32|416700|2499
04000C1US33|351700|5816
04000C1US34|327500|8856
04000C1US35|268000|3052
04000C1US36|649700|3543
04000C1US37|308300|2672
04000C1US38|269000|3735
04000C1US39|151900|1407
04000C1US40|198700|2409
04000C1US41|482700|2605
04000C1US42|201000|1876
04000C1US44|322400|6677
04000C1US45|306100|4827
04000C1US46|271000|4171
04000C1US47|278100|2524
04000C1US48|251300|1199
04000C1US49|447800|4392
04000C1US50|399900|15344
04000C1US51|351800|2406
04000C1US53|517900|5069
04000C1US54|155400|3751
04000C1US55|205900|1917
04000C1US56|284500|6868
04000C1US72|146700|1401
04000C2US01|215000|1661
04000C2US02|310200|6385
04000C2US04|348600|1905
04000C2US05|197600|2161
04000C2US06|658200|1253
04000C2US08|557200|2507
04000C2US09|361500|1984
04000C2US10|329900|2913
04000C2US12|331200|937
04000C2US13|296200|1325
04000C2US15|884200|5587
04000C2US16|408500|5235
04000C2US17|270200|910
04000C2US18|231900|1017
04000C2US19|256500|2349
04000C2US20|261900|1773
04000C2US21|227400|1524
04000C2US22|213400|1466
04000C2US23|320400|4112
04000C2US24|416800|1767
04000C2US25|520300|2367
04000C2US26|243900|933
04000C2US27|333400|1113
04000C2US28|206700|2244
04000C2US29|242200|1102
04000C2US30|399100|7959
04000C2US31|286000|2716
04000C2US32|413700|3654
04000C2US33|423700|4071
04000C2US34|432300|1411
04000C2US35|245600|3275
04000C2US36|374100|1333
04000C2US37|271100|1448
04000C2US38|290600|6015
04000C2US39|224500|738
04000C2US40|210000|1592
04000C2US41|475300|2456
04000C2US42|269000|763
04000C2US44|381600|2902
04000C2US45|241300|1540
04000C2US46|282600|4941
04000C2US47|284800|1862
04000C2US48|287700|959
04000C2US49|471400|1805
04000C2US50|362900|5712
04000C2US51|410600|1825
04000C2US53|561600|2484
04000C2US54|180200|2563
04000C2US55|295500|1218
04000C2US56|338200|14255
04000C2US72|121400|587
04000E0US01|150600|2917
04000E0US02|415600|12856
04000E0US04|210500|5560
04000E0US05|139700|2903
04000E0US06|418200|4726
04000E0US08|435200|9147
04000E0US09|293200|4940
04000E0US10|353300|7520
04000E0US12|210400|6561
04000E0US13|171400|2645
04000E0US15|565900|10718
04000E0US16|329400|6167
04000E0US17|130500|1474
04000E0US18|162600|1641
04000E0US19|158000|1998
04000E0US20|155700|2096
04000E0US21|150800|1999
04000E0US22|143900|3870
04000E0US23|219900|4083
04000E0US24|260700|6748
04000E0US25|379200|7898
04000E0US26|176000|1441
04000E0US27|234400|1706
04000E0US28|137000|3309
04000E0US29|161100|2380
04000E0US30|393400|10652
04000E0US31|188800|2497
04000E0US32|327500|6502
04000E0US33|299400|3945
04000E0US35|174400|3220
04000E0US36|154600|1544
04000E0US37|189400|1914
04000E0US38|237400|5883
04000E0US39|168500|1227
04000E0US40|155100|2125
04000E0US41|301800|5352
04000E0US42|167000|1138
04000E0US45|169700|4561
04000E0US46|219300|3483
04000E0US47|202500|2683
04000E0US48|168300|2035
04000E0US49|392900|6959
04000E0US50|258000|3553
04000E0US51|149300|4221
04000E0US53|374400|4397
04000E0US54|152100|4094
04000E0US55|212100|1726
04000E0US56|292500|4779
04000E0US72|101100|2328
04000E1US01|162200|4648
04000E1US02|412900|15322
04000E1US04|249200|13810
04000E1US05|143000|5109
04000E1US06|390600|11170
04000E1US08|369500|8902
04000E1US09|201600|7096
04000E1US10|223700|25313
04000E1US12|364300|26284
04000E1US13|173700|5629
04000E1US15|537300|19927
04000E1US16|318400|9299
04000E1US17|114600|1824
04000E1US18|122800|2095
04000E1US19|134100|2858
04000E1US20|151500|2736
04000E1US21|167200|3696
